character	value_extended	raw_value	window_freq
衢	0.447758	0.022795	303
巧	0.447100	0.022754	286
善	0.446910	0.022743	359
讴	0.446404	0.022712	92
舸	0.445641	0.022665	92
妙	0.445222	0.022639	414
翰	0.444914	0.022620	377
蒸	0.443010	0.022504	160
名	0.442970	0.022501	3571
摘	0.441418	0.022406	235
胥	0.440321	0.022338	89
华	0.440168	0.022329	3115
元	0.439072	0.022262	1012
捷	0.438450	0.022224	83
代	0.438232	0.022210	727
擘	0.438051	0.022199	60
幡	0.436426	0.022099	117
威	0.436060	0.022077	536
神	0.435606	0.022049	2646
肆	0.434882	0.022005	93
榜	0.434856	0.022003	173
宜	0.433826	0.021940	1016
稳	0.433061	0.021893	211
府	0.432693	0.021870	859
奇	0.432132	0.021836	678
光	0.431865	0.021820	4433
漾	0.430878	0.021759	214
夹	0.430014	0.021706	267
章	0.429508	0.021675	1108
捧	0.429476	0.021673	271
剖	0.427687	0.021563	68
开	0.427064	0.021525	5074
考	0.426565	0.021494	97
示	0.426473	0.021489	136
肩	0.426138	0.021468	158
篇	0.425394	0.021422	515
瞰	0.424625	0.021375	57
宇	0.424604	0.021374	498
帛	0.423826	0.021326	148
实	0.423503	0.021306	533
伦	0.423458	0.021304	172
坤	0.421390	0.021177	316
卫	0.421243	0.021168	261
鹓	0.420648	0.021131	119
戟	0.420493	0.021122	256
聪	0.420100	0.021098	92
舜	0.419637	0.021069	210
宝	0.419043	0.021033	953
陈	0.418285	0.020986	785
骢	0.418066	0.020973	188
萼	0.417583	0.020943	152
窟	0.416707	0.020889	181
贤	0.416695	0.020889	1417
遵	0.416275	0.020863	92
赫	0.414949	0.020781	161
掖	0.414938	0.020781	181
皇	0.414732	0.020768	1329
丞	0.414626	0.020762	195
颗	0.414227	0.020737	58
趣	0.414002	0.020723	335
仙	0.413943	0.020720	3330
猎	0.413837	0.020713	344
句	0.413379	0.020685	718
沿	0.413237	0.020676	146
资	0.412976	0.020660	382
偃	0.412401	0.020625	247
帖	0.411243	0.020554	73
嶂	0.411182	0.020550	225
纶	0.409723	0.020461	246
籥	0.408972	0.020415	50
降	0.408417	0.020381	706
制	0.408173	0.020366	291
嫩	0.407939	0.020351	229
寰	0.407107	0.020300	183
乾	0.406979	0.020292	383
艳	0.406943	0.020290	718
协	0.406514	0.020264	50
宙	0.406332	0.020253	91
夺	0.406279	0.020249	228
景	0.405718	0.020215	1972
哲	0.405639	0.020210	121
褒	0.405471	0.020200	88
芳	0.405283	0.020188	2617
争	0.405012	0.020172	1380
荇	0.404262	0.020126	52
敞	0.403811	0.020098	92
法	0.403230	0.020062	550
壶	0.402340	0.020008	614
曹	0.402244	0.020002	399
选	0.402216	0.020000	214
铺	0.401383	0.019949	276
刻	0.400560	0.019898	240
